currency,rate
ARS,0.002364
AUD,0.000032
BHD,0.000009
BWP,0.000266
BRL,0.000134
BND,0.000032
BGN,0.000040
CAD,0.000029
CLP,0.019411
CNY,0.000152
COP,0.089697
HRK,0.000154
CZK,0.000526
DKK,0.000152
EUR,0.000020
HKD,0.000185
HUF,0.007467
ISK,0.003075
INR,0.001787
IDR,0.336898
ILS,0.000076
JPY,0.002704
KZT,0.010119
KRW,0.027837
KWD,0.000007
LYD,0.000108
MYR,0.000099
MUR,0.001020
MXN,0.000481
NPR,0.002873
NZD,0.000033
NOK,0.000199
OMR,0.000009
PKR,0.004153
PHP,0.001206
PLN,0.000094
QAR,0.000087
RON,0.000101
RUB,0.001668
SAR,0.000089
SGD,0.000032
ZAR,0.000352
LKR,0.004807
SEK,0.000205
CHF,0.000022
TWD,0.000664
THB,0.000789
TTD,0.000162
TRY,0.000232
AED,0.000087
GBP,0.000017
USD,0.000024
VEF,10.040733
