date,rate
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,2.1e-05
2021-10-07,2.1e-05
2021-10-08,2.1e-05
2021-10-09,2.1e-05
2021-10-10,2.1e-05
2021-10-11,2.2e-05
2021-10-12,2.2e-05
2021-10-13,2.2e-05
2021-10-14,2.2e-05
2021-10-15,2.2e-05
2021-10-16,2.2e-05
2021-10-17,2.2e-05
2021-10-18,2.2e-05
2021-10-19,2.2e-05
2021-10-20,2.2e-05
2021-10-21,2.3e-05
2021-10-22,2.3e-05
2021-10-23,2.2e-05
2021-10-24,2.2e-05
2021-10-25,2.3e-05
2021-10-26,2.2e-05
2021-10-27,2.2e-05
2021-10-28,2.2e-05
2021-10-29,2.2e-05
2021-10-30,2.1e-05
2021-10-31,2.1e-05
2021-11-01,2.2e-05
2021-11-02,0.000022
2021-11-03,0.000022
