date,rate
2021-10-01,9.680851
2021-10-02,9.680851
2021-10-03,9.680851
2021-10-04,9.680851
2021-10-05,9.680851
2021-10-06,9.680851
2021-10-07,9.680851
2021-10-08,9.680851
2021-10-09,9.680851
2021-10-10,9.680851
2021-10-11,9.680851
2021-10-12,9.680851
2021-10-13,9.680851
2021-10-14,9.680851
2021-10-15,9.680851
2021-10-16,9.680851
2021-10-17,9.680851
2021-10-18,9.680851
2021-10-19,9.680851
2021-10-20,9.680851
2021-10-21,9.680851
2021-10-22,9.680851
2021-10-23,9.680851
2021-10-24,9.680851
2021-10-25,9.680851
2021-10-26,9.680851
2021-10-27,9.680851
2021-10-28,9.680851
2021-10-29,9.680851
2021-10-30,9.680851
2021-10-31,9.680851
2021-11-01,9.680851
