date,rate
2021-10-01,0.00311
2021-10-02,0.003105
2021-10-03,0.00311
2021-10-04,0.0031
2021-10-05,0.003097
2021-10-06,0.003074
2021-10-07,0.003087
2021-10-08,0.00307
2021-10-09,0.003071
2021-10-10,0.003068
2021-10-11,0.003072
2021-10-12,0.003067
2021-10-13,0.003093
2021-10-14,0.003101
2021-10-15,0.003106
2021-10-16,0.003099
2021-10-17,0.003106
2021-10-18,0.003099
2021-10-19,0.003124
2021-10-20,0.003125
2021-10-21,0.00312
2021-10-22,0.003118
2021-10-23,0.003118
2021-10-24,0.003118
2021-10-25,0.003145
2021-10-26,0.003145
2021-10-27,0.003135
2021-10-28,0.003146
2021-10-29,0.003125
2021-10-30,0.003125
2021-10-31,0.003126
2021-11-01,0.003118
2021-11-02,0.003119
2021-11-03,0.003100
