date,rate
2021-10-01,0.003082
2021-10-02,0.003078
2021-10-03,0.003083
2021-10-04,0.003072
2021-10-05,0.00307
2021-10-06,0.003047
2021-10-07,0.00306
2021-10-08,0.003043
2021-10-09,0.003043
2021-10-10,0.003041
2021-10-11,0.003045
2021-10-12,0.00304
2021-10-13,0.003065
2021-10-14,0.003073
2021-10-15,0.003078
2021-10-16,0.003072
2021-10-17,0.003079
2021-10-18,0.003072
2021-10-19,0.003096
2021-10-20,0.003097
2021-10-21,0.003092
2021-10-22,0.003091
2021-10-23,0.00309
2021-10-24,0.00309
2021-10-25,0.003117
2021-10-26,0.003117
2021-10-27,0.003107
2021-10-28,0.003119
2021-10-29,0.003097
2021-10-30,0.003098
2021-10-31,0.003098
2021-11-01,0.003091
